timestamp,ticker,action,qty,entry_price,exit_price,pl_usd,pl_pct,confidence,reason
2026-07-29 01:24:19,SMH,VENTE_STOP_LOSS,7.929481269,531.49,523.0,-67.321296,-1.5970000000000002,0.0,Stop-Loss -1.2%
2026-07-29 01:44:14,USO,VENTE_STOP_SUIVEUR,17.613696588,120.760568,125.3,79.956177,3.759,0.0,Stop Suiveur Réactif (Sommet +4.31%)
2026-07-29 02:00:03,MSTR,VENTE_STOP_SUIVEUR,25.213854795,96.14,96.06,-2.017108,-0.083,0.0,Stop Suiveur Réactif (Sommet +0.84%)
2026-07-29 02:24:25,TSM,VENTE_STOP_SUIVEUR,8.846146008,392.58,396.68,36.269198,1.044,0.0,Stop Suiveur Réactif (Sommet +1.75%)
2026-07-29 04:13:01,XRPUSD,VENTE_STOP_SUIVEUR,2495.610256768,1.060269328,1.07102,26.829487,1.014,0.0,Stop Suiveur Réactif (Sommet +1.77%)
2026-07-29 04:56:40,SLV,VENTE_STOP_SUIVEUR,65.953735965,51.66,52.12,30.338718,0.89,0.0,Stop Suiveur Réactif (Sommet +1.41%)
2026-07-29 05:55:24,TSLA,VENTE_STOP_LOSS,8.316679702,306.84,303.0,-31.93605,-1.2510000000000001,0.0,Stop-Loss -1.2%
2026-07-29 07:02:00,XOM,VENTE_STOP_SUIVEUR,16.046194943,153.48,154.77,20.699591,0.8410000000000001,0.0,Stop Suiveur Réactif (Sommet +1.38%)
2026-07-29 08:01:28,XRPUSD,VENTE_STOP_SUIVEUR,2491.774085332,1.073363784,1.083,24.011273,0.898,0.0,Stop Suiveur Réactif (Sommet +1.41%)
2026-07-29 08:52:48,ADAUSD,VENTE_STOP_SUIVEUR,14832.774627118,0.16306,0.1637,9.492975,0.392,0.0,Stop Suiveur Réactif (Sommet +1.07%)
2026-07-29 11:02:39,TSM,VENTE_STOP_LOSS,8.846146008,392.58,386.8,-51.130724,-1.472,0.0,Stop-Loss -1.2%
2026-07-29 12:49:49,SLV,VENTE_STOP_SUIVEUR,65.953735965,51.807841,51.95,9.375917,0.27399999999999997,0.0,Stop Suiveur Réactif (Sommet +1.03%)
2026-07-29 12:51:23,MSTR,VENTE_STOP_SUIVEUR,25.213854795,96.669807,97.8,28.496522,1.169,0.0,Stop Suiveur Réactif (Sommet +1.72%)
2026-07-29 14:32:07,TSM,VENTE_STOP_LOSS,8.846146008,392.58,387.7,-43.169193,-1.243,0.0,Stop-Loss -1.2%
2026-07-29 14:32:07,URA,VENTE_STOP_LOSS,56.17242268,38.815409,38.3,-28.951772,-1.328,0.0,Stop-Loss -1.2%
2026-07-29 14:37:32,USO,VENTE_STOP_SUIVEUR,17.613696588,119.913774,128.28,147.360166,6.977,0.0,Stop Suiveur Réactif (Sommet +7.48%)
2026-07-29 15:18:14,USO,VENTE_STOP_SUIVEUR,17.613696588,119.913774,128.25,146.831755,6.952,0.0,Stop Suiveur Réactif (Sommet +7.69%)
2026-07-29 15:30:22,TSM,VENTE_STOP_LOSS,8.846146008,392.58,387.63,-43.788423,-1.261,0.0,Stop-Loss -1.2%
2026-07-29 15:30:24,TSLA,VENTE_STOP_SUIVEUR,8.316679702,305.285703,307.135,15.380011,0.606,0.0,Stop Suiveur Réactif (Sommet +1.14%)
2026-07-29 15:38:30,VKTX,VENTE_STOP_LOSS,137.871331159,33.796947,33.39,-56.106325,-1.204,0.0,Stop-Loss -1.2%
2026-07-29 15:41:21,SOUN,VENTE_STOP_LOSS,682.79326923,6.24,6.165,-51.209495,-1.202,0.0,Stop-Loss -1.2%
2026-07-29 15:54:28,PLTR,VENTE_STOP_LOSS,36.612481974,124.82,123.3,-55.650973,-1.218,0.0,Stop-Loss -1.2%
2026-07-29 15:54:28,SMH,VENTE_STOP_LOSS,19.198764219,529.233542,519.95,-178.232534,-1.754,0.0,Stop-Loss -1.2%
2026-07-29 15:54:28,TSM,VENTE_STOP_LOSS,18.177001127,390.28,383.54,-122.512988,-1.727,0.0,Stop-Loss -1.2%
2026-07-29 15:54:28,XRPUSD,VENTE_STOP_LOSS,2327.437974894,1.08419975,1.07,-33.049038,-1.31,0.0,Stop-Loss -1.2%
